model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,test,110.6388,69.9017,0.6483,False,../models/dt_10_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,train,100.691,64.3546,0.7033,False,../models/dt_10_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,val,110.4391,68.3394,0.6444,False,../models/dt_10_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,test,112.0099,70.3199,0.6395,False,../models/dt_10_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,train,101.4472,64.7179,0.6988,False,../models/dt_10_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,val,110.7218,68.6527,0.6426,False,../models/dt_10_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,test,112.3922,70.6484,0.637,False,../models/dt_10_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,train,101.9786,64.9417,0.6956,False,../models/dt_10_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,val,111.2758,68.7634,0.639,False,../models/dt_10_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,test,111.4694,70.3055,0.643,False,../models/dt_10_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,train,103.9568,65.9088,0.6837,False,../models/dt_10_depth_30_minsplit_20_minleaf_hot.pkl
